Unnamed: 0,Country,Artist,Song,Language,Points,Place,Order,Year
0,Ireland,Maria Christian,"""Wait Until the Weekend Comes""",English,91,6,1,1985
1,Finland,Sonja Lumme,"""Eläköön elämä""",Finnish,58,9,2,1985
2,Cyprus,Lia Vissi,"""To katalava arga"" (Το κατάλαβα αργά)",Greek,15,16,3,1985
3,Denmark,Hot Eyes,"""Sku' du spørg' fra no'en?""",Danish,41,11,4,1985
4,Spain,Paloma San Basilio,"""La fiesta terminó""",Spanish,36,14,5,1985
5,France,Roger Bens,"""Femme dans ses rêves aussi""",French,56,10,6,1985
6,Turkey,MFÖ,"""Didai didai dai""",Turkish,36,14,7,1985
7,Belgium,Linda Lepomme,"""Laat me nu gaan""",Dutch,7,19,8,1985
8,Portugal,Adelaide,"""Penso em ti, eu sei""",Portuguese,9,18,9,1985
9,Germany,Wind,"""Für alle""",German,105,2,10,1985
10,Israel,Izhar Cohen,"""Olé, Olé"" (עולה, עולה)",Hebrew,93,5,11,1985
11,Italy,Al Bano and Romina Power,"""Magic Oh Magic""",Italian,78,7,12,1985
12,Norway,Bobbysocks!,"""La det swinge""",Norwegian,123,1,13,1985
13,United Kingdom,Vikki,"""Love Is...""",English,100,4,14,1985
14,Switzerland,Mariella Farré and Pino Gasparini,"""Piano, piano""",German,39,12,15,1985
15,Sweden,Kikki Danielsson,"""Bra vibrationer""",Swedish,103,3,16,1985
16,Austria,Gary Lux,"""Kinder dieser Welt""",German,60,8,17,1985
17,Luxembourg,"Margo, Franck Olivier, Diane Solomon,Ireen Sheer, Malcolm Roberts and Chris Roberts","""Children, Kinder, Enfants""","French, German, English",37,13,18,1985
18,Greece,Takis Biniaris,"""Miazoume"" (Μοιάζουμε)",Greek,15,16,19,1985
