,Contestants,Total score,Jury score,Televoting score,Austria,Iceland,Azerbaijan,San Marino,Czech Republic,Ireland,Georgia,Bosnia and Herzegovina,Malta,Spain,Finland,Switzerland,Denmark,France,Moldova,Armenia,Cyprus,Bulgaria,Netherlands,Latvia,Israel,Belarus,Germany,Russia,Norway,Australia,Belgium,United Kingdom,Croatia,Greece,Lithuania,Serbia,Macedonia,Albania,Estonia,Ukraine,Italy,Poland,Slovenia,Hungary,Montenegro,Sweden,Year
0,Belgium,181,130,51,0,3,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,12,0,1,0,0,0,2,12,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,2016
1,Czech Republic,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
2,Netherlands,153,114,39,6,6,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2016
3,Azerbaijan,117,44,73,0,1,0,0,6,0,7,8,6,0,0,0,0,0,8,0,0,1,0,3,2,8,0,6,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,7,0,2016
4,Hungary,108,52,56,0,0,7,1,3,0,2,1,5,0,0,0,0,0,0,3,4,0,0,0,0,3,0,0,0,0,0,0,3,2,2,10,0,1,0,0,0,6,0,0,3,0,2016
5,Italy,124,90,34,0,0,0,0,0,0,0,0,7,3,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,1,0,4,0,2016
6,Israel,135,124,11,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
7,Bulgaria,307,127,180,5,0,8,3,5,5,3,2,8,12,4,0,0,5,2,0,12,0,1,1,7,4,4,0,5,10,5,8,1,7,0,8,10,8,0,2,7,3,2,4,5,4,2016
8,Sweden,261,122,139,7,12,0,4,2,2,0,0,0,1,10,0,12,2,0,2,1,3,2,7,0,2,8,2,7,0,1,1,7,0,7,1,0,3,10,1,0,10,5,7,0,0,2016
9,Germany,11,1,10,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
10,France,257,148,109,1,5,4,0,0,0,0,4,2,10,3,3,2,0,6,7,6,0,4,0,12,0,0,3,1,7,8,0,2,4,3,0,0,0,2,0,5,0,0,1,1,3,2016
11,Poland,229,7,222,12,10,3,7,7,10,4,0,0,5,5,5,5,7,0,1,2,6,10,5,4,6,10,5,10,0,12,10,4,3,6,0,2,5,1,8,10,0,4,8,0,10,2016
12,Australia,511,320,191,3,8,2,5,1,6,1,3,12,4,7,1,10,0,5,0,5,5,5,6,5,1,5,4,8,0,4,6,5,5,5,6,3,12,4,4,0,7,3,3,0,12,2016
13,Cyprus,96,43,53,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,7,0,0,0,0,0,7,0,0,0,2,0,12,0,3,0,0,3,0,6,1,0,5,0,0,2016
14,Serbia,115,35,80,4,0,0,0,0,0,0,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,12,0,0,0,4,0,12,0,12,0,2016
15,Lithuania,200,104,96,0,4,0,8,0,12,5,0,0,0,0,0,6,0,3,0,3,0,0,8,0,0,0,0,12,1,0,12,0,0,0,0,0,4,5,3,2,0,0,0,2,6,2016
16,Croatia,73,40,33,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,8,0,6,0,2016
17,Russia,491,130,361,8,7,12,10,10,8,8,6,10,8,8,6,4,6,12,12,10,12,3,12,10,12,12,0,6,5,6,7,8,10,8,12,8,7,12,12,8,8,10,10,10,8,2016
18,Spain,77,67,10,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2016
19,Latvia,132,69,63,0,0,0,6,0,7,6,0,0,0,2,0,0,0,1,0,0,0,0,0,0,5,0,1,3,0,0,3,0,0,12,0,0,0,7,5,0,5,0,0,0,0,2016
20,Ukraine,534,211,323,10,0,10,12,12,4,10,7,4,7,12,4,3,10,10,10,7,10,7,10,8,10,6,10,4,8,2,5,10,6,10,7,6,6,8,0,12,12,7,12,8,7,2016
21,Malta,153,137,16,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
22,Georgia,104,80,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,3,0,0,0,0,0,2016
23,Austria,151,31,120,0,2,0,0,4,1,0,5,0,2,6,10,1,8,4,4,0,4,6,4,3,0,7,8,0,3,3,0,6,1,1,0,0,0,6,0,0,4,6,6,0,5,2016
24,United Kingdom,62,54,8,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
25,Armenia,249,115,134,0,0,0,2,8,0,12,0,0,6,0,0,0,12,7,0,8,8,8,0,6,7,2,12,0,0,7,0,0,8,0,2,7,2,0,7,1,2,0,0,0,0,2016
